,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,0.00425876185878154
2,DT_Oblique-C,C45-C,0.7596028417731461
3,DT_Oblique-C,C45Rules-C,0.0010620043565919568
4,DT_Oblique-C,C45RulesSA-C,0.0008585143716738397
5,DT_Oblique-C,DT_GA-C,0.12519205793697322
6,DT_Oblique-C,EACH-C,0.0267889196664035
7,DT_Oblique-C,GPR,0.2948217055874798
8,DT_Oblique-C,Hider-C,4.739122475527475e-06
9,DT_Oblique-C,NSLV-C,0.9823312004940015
10,DT_Oblique-C,OCEC-C,0.010988204616987029
11,DT_Oblique-C,OIGA-C,0.0002501714519527427
12,DT_Oblique-C,PGIRLA-C,2.9181698748941225e-06
13,DT_Oblique-C,Ripper-C,1.146973110843234e-09
14,DT_Oblique-C,SLAVE2-C,0.13217918852248878
15,DT_Oblique-C,SLAVEv0-C,0.06670925488627195
