,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,0.23592785156698304
2,Hider-C,C45-C,0.00012584040761386158
3,Hider-C,C45Rules-C,4.257835574475354e-09
4,Hider-C,C45RulesSA-C,2.9232478699847083e-08
5,Hider-C,DT_GA-C,0.010892423413586257
6,Hider-C,DT_Oblique-C,4.739122475527475e-06
7,Hider-C,EACH-C,0.5857006620634602
8,Hider-C,GPR,0.0004652907555798981
9,Hider-C,NSLV-C,0.0001243154923545886
10,Hider-C,OCEC-C,8.770788243616973e-08
11,Hider-C,OIGA-C,0.7386603798031228
12,Hider-C,PGIRLA-C,0.07680595059283964
13,Hider-C,Ripper-C,3.1095294164406504e-13
14,Hider-C,SLAVE2-C,0.0018447735473336524
15,Hider-C,SLAVEv0-C,0.007573064915255566
