,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,0.00015404734369366
2,OCEC-C,C45-C,0.005200321728412119
3,OCEC-C,C45Rules-C,0.7046392473808696
4,OCEC-C,C45RulesSA-C,0.4585004285171216
5,OCEC-C,DT_GA-C,0.00021233539345301346
6,OCEC-C,DT_Oblique-C,0.010988204616987029
7,OCEC-C,EACH-C,0.016258689446252358
8,OCEC-C,GPR,0.003114328070173014
9,OCEC-C,Hider-C,8.770788243616973e-08
10,OCEC-C,NSLV-C,0.02748985627602375
11,OCEC-C,OIGA-C,7.181385964543812e-07
12,OCEC-C,PGIRLA-C,5.72606158166283e-10
13,OCEC-C,Ripper-C,7.448383487524298e-08
14,OCEC-C,SLAVE2-C,0.0007326294848047341
15,OCEC-C,SLAVEv0-C,3.131791734393819e-05
