,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.18788483870832762
2,PGIRLA-C,C45-C,0.0001324985047961171
3,PGIRLA-C,C45Rules-C,8.243095248862834e-11
4,PGIRLA-C,C45RulesSA-C,5.124685002621705e-10
5,PGIRLA-C,DT_GA-C,0.005803331772261773
6,PGIRLA-C,DT_Oblique-C,2.9181698748941225e-06
7,PGIRLA-C,EACH-C,0.12747085897052418
8,PGIRLA-C,GPR,0.005474850738544518
9,PGIRLA-C,Hider-C,0.07680595059283964
10,PGIRLA-C,NSLV-C,0.001319264420147259
11,PGIRLA-C,OCEC-C,5.72606158166283e-10
12,PGIRLA-C,OIGA-C,0.5847298700650556
13,PGIRLA-C,Ripper-C,3.6077591223136625e-16
14,PGIRLA-C,SLAVE2-C,0.02080918771991781
15,PGIRLA-C,SLAVEv0-C,0.05611355218028089
