,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,2.170238883467882e-10
2,Ripper-C,C45-C,1.3082275411417388e-11
3,Ripper-C,C45Rules-C,1.8635644464707416e-06
4,Ripper-C,C45RulesSA-C,1.5923520476114564e-06
5,Ripper-C,DT_GA-C,2.216455399759197e-12
6,Ripper-C,DT_Oblique-C,1.146973110843234e-09
7,Ripper-C,EACH-C,7.617642169616508e-06
8,Ripper-C,GPR,5.646207623566094e-09
9,Ripper-C,Hider-C,3.1095294164406504e-13
10,Ripper-C,NSLV-C,4.3499266211429327e-08
11,Ripper-C,OCEC-C,7.448383487524298e-08
12,Ripper-C,OIGA-C,3.896043371394589e-12
13,Ripper-C,PGIRLA-C,3.6077591223136625e-16
14,Ripper-C,SLAVE2-C,3.607211624934895e-09
15,Ripper-C,SLAVEv0-C,7.844445754418662e-10
