,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,0.11121433028102208
2,SLAVE2-C,C45-C,0.4883825275038547
3,SLAVE2-C,C45Rules-C,9.510429583309144e-05
4,SLAVE2-C,C45RulesSA-C,0.00020442058396854992
5,SLAVE2-C,DT_GA-C,0.6348672352460134
6,SLAVE2-C,DT_Oblique-C,0.13217918852248878
7,SLAVE2-C,EACH-C,0.019158831732450615
8,SLAVE2-C,GPR,0.7064036294025318
9,SLAVE2-C,Hider-C,0.0018447735473336524
10,SLAVE2-C,NSLV-C,0.07352398166040788
11,SLAVE2-C,OCEC-C,0.0007326294848047341
12,SLAVE2-C,OIGA-C,0.002205520975412129
13,SLAVE2-C,PGIRLA-C,0.02080918771991781
14,SLAVE2-C,Ripper-C,3.607211624934895e-09
15,SLAVE2-C,SLAVEv0-C,0.4063586454930319
