,1R-C,Algorithm,p-value
1,1R-C,C45-C,0.0003507024630288831
2,1R-C,C45Rules-C,0.48972753529465196
3,1R-C,C45RulesSA-C,0.47965677822213737
4,1R-C,DT_GA-C,7.785966953616552e-05
5,1R-C,DT_Oblique-C,0.9024739857223087
6,1R-C,EACH-C,0.7921929170668868
7,1R-C,GPR,1.307424677286857e-05
8,1R-C,Hider-C,6.768384848287762e-06
9,1R-C,NSLV-C,3.089089294718478e-05
10,1R-C,OCEC-C,0.989935927161569
11,1R-C,OIGA-C,2.476247273976553e-12
12,1R-C,PGIRLA-C,2.5514578741811883e-07
13,1R-C,Ripper-C,0.0039271688420095836
14,1R-C,SLAVE2-C,2.6338565011011953e-05
15,1R-C,SLAVEv0-C,0.0003202963002832195
