,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,0.48972753529465196
2,C45Rules-C,C45-C,4.612707856970419e-06
3,C45Rules-C,C45RulesSA-C,0.4297026510011921
4,C45Rules-C,DT_GA-C,3.402239304028912e-07
5,C45Rules-C,DT_Oblique-C,0.0028813940032919694
6,C45Rules-C,EACH-C,0.5834421549917888
7,C45Rules-C,GPR,1.4923933088612736e-05
8,C45Rules-C,Hider-C,8.996851695625529e-07
9,C45Rules-C,NSLV-C,1.508688639938549e-05
10,C45Rules-C,OCEC-C,0.011535284889371283
11,C45Rules-C,OIGA-C,5.065977745975106e-10
12,C45Rules-C,PGIRLA-C,3.948573384976138e-07
13,C45Rules-C,Ripper-C,1.5067588721971938e-09
14,C45Rules-C,SLAVE2-C,1.1465521163456911e-05
15,C45Rules-C,SLAVEv0-C,0.00014532468678147406
