,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,7.785966953616552e-05
2,DT_GA-C,C45-C,0.28289852567908946
3,DT_GA-C,C45Rules-C,3.402239304028912e-07
4,DT_GA-C,C45RulesSA-C,2.051897037646608e-05
5,DT_GA-C,DT_Oblique-C,1.052872128087758e-09
6,DT_GA-C,EACH-C,0.0695773333315202
7,DT_GA-C,GPR,0.6649456424729122
8,DT_GA-C,Hider-C,0.18471155134569228
9,DT_GA-C,NSLV-C,0.6612327638357294
10,DT_GA-C,OCEC-C,2.4408984297377815e-08
11,DT_GA-C,OIGA-C,0.0003331052003547005
12,DT_GA-C,PGIRLA-C,0.3497752882123282
13,DT_GA-C,Ripper-C,1.535052972777588e-13
14,DT_GA-C,SLAVE2-C,0.9125070883022511
15,DT_GA-C,SLAVEv0-C,0.3542438183683819
