,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,0.9024739857223087
2,DT_Oblique-C,C45-C,9.946456577568727e-10
3,DT_Oblique-C,C45Rules-C,0.0028813940032919694
4,DT_Oblique-C,C45RulesSA-C,0.00434683686628877
5,DT_Oblique-C,DT_GA-C,1.052872128087758e-09
6,DT_Oblique-C,EACH-C,0.8896420900452107
7,DT_Oblique-C,GPR,1.2425044743752247e-09
8,DT_Oblique-C,Hider-C,2.2994963695355834e-10
9,DT_Oblique-C,NSLV-C,8.67228408760925e-09
10,DT_Oblique-C,OCEC-C,0.7670240659045627
11,DT_Oblique-C,OIGA-C,1.0235706245806334e-12
12,DT_Oblique-C,PGIRLA-C,9.079351366368226e-11
13,DT_Oblique-C,Ripper-C,4.0635004216685075e-07
14,DT_Oblique-C,SLAVE2-C,5.988693797976877e-09
15,DT_Oblique-C,SLAVEv0-C,1.3077254496229136e-07
