,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.7921929170668868
2,EACH-C,C45-C,0.12177943319590474
3,EACH-C,C45Rules-C,0.5834421549917888
4,EACH-C,C45RulesSA-C,0.36567735007533386
5,EACH-C,DT_GA-C,0.0695773333315202
6,EACH-C,DT_Oblique-C,0.8896420900452107
7,EACH-C,GPR,0.12934751350765228
8,EACH-C,Hider-C,0.05527675389545685
9,EACH-C,NSLV-C,0.07757745424921987
10,EACH-C,OCEC-C,0.7238382565408015
11,EACH-C,OIGA-C,0.005363043070972603
12,EACH-C,PGIRLA-C,0.008436695372209773
13,EACH-C,Ripper-C,0.5121706257944866
14,EACH-C,SLAVE2-C,0.052112141072649
15,EACH-C,SLAVEv0-C,0.11219815852305423
