,GPR,Algorithm,p-value
1,GPR,1R-C,1.307424677286857e-05
2,GPR,C45-C,0.3370082064646496
3,GPR,C45Rules-C,1.4923933088612736e-05
4,GPR,C45RulesSA-C,3.555902780067675e-05
5,GPR,DT_GA-C,0.6649456424729122
6,GPR,DT_Oblique-C,1.2425044743752247e-09
7,GPR,EACH-C,0.12934751350765228
8,GPR,Hider-C,0.38707121957298696
9,GPR,NSLV-C,0.5847740478750598
10,GPR,OCEC-C,1.3111574197067053e-06
11,GPR,OIGA-C,0.0007514820229696819
12,GPR,PGIRLA-C,0.7363639972404707
13,GPR,Ripper-C,2.467388892695075e-12
14,GPR,SLAVE2-C,0.9494634696036622
15,GPR,SLAVEv0-C,0.3341236345311027
