,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,6.768384848287762e-06
2,Hider-C,C45-C,0.04545804542451511
3,Hider-C,C45Rules-C,8.996851695625529e-07
4,Hider-C,C45RulesSA-C,5.72143473170219e-07
5,Hider-C,DT_GA-C,0.18471155134569228
6,Hider-C,DT_Oblique-C,2.2994963695355834e-10
7,Hider-C,EACH-C,0.05527675389545685
8,Hider-C,GPR,0.38707121957298696
9,Hider-C,NSLV-C,0.05509474406018673
10,Hider-C,OCEC-C,1.5659138600953983e-08
11,Hider-C,OIGA-C,0.006083762002770341
12,Hider-C,PGIRLA-C,0.7477225529871607
13,Hider-C,Ripper-C,3.8193328097180634e-13
14,Hider-C,SLAVE2-C,0.4202808107942392
15,Hider-C,SLAVEv0-C,0.01999079893322481
