,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,0.989935927161569
2,OCEC-C,C45-C,8.663461460692953e-08
3,OCEC-C,C45Rules-C,0.011535284889371283
4,OCEC-C,C45RulesSA-C,0.012286055433183715
5,OCEC-C,DT_GA-C,2.4408984297377815e-08
6,OCEC-C,DT_Oblique-C,0.7670240659045627
7,OCEC-C,EACH-C,0.7238382565408015
8,OCEC-C,GPR,1.3111574197067053e-06
9,OCEC-C,Hider-C,1.5659138600953983e-08
10,OCEC-C,NSLV-C,2.475136310770035e-08
11,OCEC-C,OIGA-C,5.3091676761506975e-11
12,OCEC-C,PGIRLA-C,2.9235916386707e-09
13,OCEC-C,Ripper-C,2.293039955550044e-08
14,OCEC-C,SLAVE2-C,2.3974095513823057e-08
15,OCEC-C,SLAVEv0-C,2.5413244277111183e-07
