,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,2.476247273976553e-12
2,OIGA-C,C45-C,6.691477918869948e-06
3,OIGA-C,C45Rules-C,5.065977745975106e-10
4,OIGA-C,C45RulesSA-C,2.2057240078438057e-09
5,OIGA-C,DT_GA-C,0.0003331052003547005
6,OIGA-C,DT_Oblique-C,1.0235706245806334e-12
7,OIGA-C,EACH-C,0.005363043070972603
8,OIGA-C,GPR,0.0007514820229696819
9,OIGA-C,Hider-C,0.006083762002770341
10,OIGA-C,NSLV-C,3.138873182357558e-07
11,OIGA-C,OCEC-C,5.3091676761506975e-11
12,OIGA-C,PGIRLA-C,0.0029286826923702646
13,OIGA-C,Ripper-C,2.9862216082293355e-14
14,OIGA-C,SLAVE2-C,4.4602276902333695e-05
15,OIGA-C,SLAVEv0-C,4.817997244655981e-07
