,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,0.0039271688420095836
2,Ripper-C,C45-C,4.9113721561964e-13
3,Ripper-C,C45Rules-C,1.5067588721971938e-09
4,Ripper-C,C45RulesSA-C,1.082395536289547e-10
5,Ripper-C,DT_GA-C,1.535052972777588e-13
6,Ripper-C,DT_Oblique-C,4.0635004216685075e-07
7,Ripper-C,EACH-C,0.5121706257944866
8,Ripper-C,GPR,2.467388892695075e-12
9,Ripper-C,Hider-C,3.8193328097180634e-13
10,Ripper-C,NSLV-C,1.1377919137542787e-12
11,Ripper-C,OCEC-C,2.293039955550044e-08
12,Ripper-C,OIGA-C,2.9862216082293355e-14
13,Ripper-C,PGIRLA-C,1.52459555700077e-14
14,Ripper-C,SLAVE2-C,8.28242826815028e-13
15,Ripper-C,SLAVEv0-C,6.5212798944601996e-12
