,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,0.0003202963002832195
2,SLAVEv0-C,C45-C,0.9695018063080884
3,SLAVEv0-C,C45Rules-C,0.00014532468678147406
4,SLAVEv0-C,C45RulesSA-C,0.0004926050449137887
5,SLAVEv0-C,DT_GA-C,0.3542438183683819
6,SLAVEv0-C,DT_Oblique-C,1.3077254496229136e-07
7,SLAVEv0-C,EACH-C,0.11219815852305423
8,SLAVEv0-C,GPR,0.3341236345311027
9,SLAVEv0-C,Hider-C,0.01999079893322481
10,SLAVEv0-C,NSLV-C,0.34187686156415376
11,SLAVEv0-C,OCEC-C,2.5413244277111183e-07
12,SLAVEv0-C,OIGA-C,4.817997244655981e-07
13,SLAVEv0-C,PGIRLA-C,0.253673307708033
14,SLAVEv0-C,Ripper-C,6.5212798944601996e-12
15,SLAVEv0-C,SLAVE2-C,0.011496768902604804
