,1R-C,Algorithm,p-value
1,1R-C,C45-C,3.74880699714567e-12
2,1R-C,C45Rules-C,4.664133463244703e-13
3,1R-C,C45RulesSA-C,1.0759890032082671e-13
4,1R-C,DT_GA-C,2.415558732822e-12
5,1R-C,DT_Oblique-C,3.1039550256756095e-08
6,1R-C,EACH-C,0.7342835617606573
7,1R-C,GPR,2.1976972721107295e-11
8,1R-C,Hider-C,2.1261955956916516e-07
9,1R-C,NSLV-C,4.455240868033897e-12
10,1R-C,OCEC-C,3.529331453479415e-11
11,1R-C,OIGA-C,2.721810308025234e-11
12,1R-C,PGIRLA-C,0.0009229655400774047
13,1R-C,Ripper-C,7.737720897151245e-13
14,1R-C,SLAVE2-C,1.7480739611270776e-10
15,1R-C,SLAVEv0-C,3.271593985049336e-07
