,C45-C,Algorithm,p-value
1,C45-C,1R-C,3.74880699714567e-12
2,C45-C,C45Rules-C,0.973470630934328
3,C45-C,C45RulesSA-C,0.7589240971819297
4,C45-C,DT_GA-C,0.9352776563505196
5,C45-C,DT_Oblique-C,0.0009290939889110573
6,C45-C,EACH-C,1.0159992222207428e-08
7,C45-C,GPR,0.8474612352520605
8,C45-C,Hider-C,0.0697945405363589
9,C45-C,NSLV-C,0.580114363865629
10,C45-C,OCEC-C,0.31885746993652964
11,C45-C,OIGA-C,0.7716334425803524
12,C45-C,PGIRLA-C,0.00023456705809428086
13,C45-C,Ripper-C,0.7047342086719602
14,C45-C,SLAVE2-C,0.2500465909127888
15,C45-C,SLAVEv0-C,0.0015418675143220517
