,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,4.664133463244703e-13
2,C45Rules-C,C45-C,0.973470630934328
3,C45Rules-C,C45RulesSA-C,0.8130016860893962
4,C45Rules-C,DT_GA-C,0.8962309692704404
5,C45Rules-C,DT_Oblique-C,0.0016421866023239953
6,C45Rules-C,EACH-C,1.3596071457848005e-09
7,C45Rules-C,GPR,0.8689528343265828
8,C45Rules-C,Hider-C,0.023727147564936713
9,C45Rules-C,NSLV-C,0.4345598925289701
10,C45Rules-C,OCEC-C,0.23482894796194087
11,C45Rules-C,OIGA-C,0.9715000349697719
12,C45Rules-C,PGIRLA-C,0.0004407503764419528
13,C45Rules-C,Ripper-C,0.7223327731923903
14,C45Rules-C,SLAVE2-C,0.19922994627636514
15,C45Rules-C,SLAVEv0-C,0.005075660289886708
