,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,1.0759890032082671e-13
2,C45RulesSA-C,C45-C,0.7589240971819297
3,C45RulesSA-C,C45Rules-C,0.8130016860893962
4,C45RulesSA-C,DT_GA-C,0.817863082431044
5,C45RulesSA-C,DT_Oblique-C,0.001033692564275062
6,C45RulesSA-C,EACH-C,6.139248750082381e-10
7,C45RulesSA-C,GPR,0.6243258678551736
8,C45RulesSA-C,Hider-C,0.01715651368447439
9,C45RulesSA-C,NSLV-C,0.5764519962973796
10,C45RulesSA-C,OCEC-C,0.3052272542191137
11,C45RulesSA-C,OIGA-C,0.8069362326703395
12,C45RulesSA-C,PGIRLA-C,0.00026250194837750196
13,C45RulesSA-C,Ripper-C,0.678978889696827
14,C45RulesSA-C,SLAVE2-C,0.1923064752046152
15,C45RulesSA-C,SLAVEv0-C,0.0032730276040163196
