,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,2.415558732822e-12
2,DT_GA-C,C45-C,0.9352776563505196
3,DT_GA-C,C45Rules-C,0.8962309692704404
4,DT_GA-C,C45RulesSA-C,0.817863082431044
5,DT_GA-C,DT_Oblique-C,0.0044172976508084815
6,DT_GA-C,EACH-C,2.7627695139794565e-08
7,DT_GA-C,GPR,0.9265318196570983
8,DT_GA-C,Hider-C,0.014425036454026763
9,DT_GA-C,NSLV-C,0.9988570910583268
10,DT_GA-C,OCEC-C,0.4529761942800151
11,DT_GA-C,OIGA-C,0.7013543718280812
12,DT_GA-C,PGIRLA-C,0.00019345214619768427
13,DT_GA-C,Ripper-C,0.9751331837087069
14,DT_GA-C,SLAVE2-C,0.2922466776999222
15,DT_GA-C,SLAVEv0-C,0.0018689772695329111
