,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,3.1039550256756095e-08
2,DT_Oblique-C,C45-C,0.0009290939889110573
3,DT_Oblique-C,C45Rules-C,0.0016421866023239953
4,DT_Oblique-C,C45RulesSA-C,0.001033692564275062
5,DT_Oblique-C,DT_GA-C,0.0044172976508084815
6,DT_Oblique-C,EACH-C,1.0240407757955592e-06
7,DT_Oblique-C,GPR,0.0025644568209406073
8,DT_Oblique-C,Hider-C,0.453964647178982
9,DT_Oblique-C,NSLV-C,0.004510052768853499
10,DT_Oblique-C,OCEC-C,0.039624231999583516
11,DT_Oblique-C,OIGA-C,0.0050450617413475805
12,DT_Oblique-C,PGIRLA-C,0.22253187312128941
13,DT_Oblique-C,Ripper-C,0.004623808656224024
14,DT_Oblique-C,SLAVE2-C,0.02689290697421991
15,DT_Oblique-C,SLAVEv0-C,0.593106056292423
