,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.7342835617606573
2,EACH-C,C45-C,1.0159992222207428e-08
3,EACH-C,C45Rules-C,1.3596071457848005e-09
4,EACH-C,C45RulesSA-C,6.139248750082381e-10
5,EACH-C,DT_GA-C,2.7627695139794565e-08
6,EACH-C,DT_Oblique-C,1.0240407757955592e-06
7,EACH-C,GPR,9.072639571174429e-09
8,EACH-C,Hider-C,7.854173049771245e-07
9,EACH-C,NSLV-C,2.245986635751945e-09
10,EACH-C,OCEC-C,1.2287898986238618e-08
11,EACH-C,OIGA-C,2.740407794118137e-10
12,EACH-C,PGIRLA-C,0.02291057014186707
13,EACH-C,Ripper-C,2.4762591725618126e-11
14,EACH-C,SLAVE2-C,2.3510523210216807e-08
15,EACH-C,SLAVEv0-C,1.4808169665351348e-05
