,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,2.1261955956916516e-07
2,Hider-C,C45-C,0.0697945405363589
3,Hider-C,C45Rules-C,0.023727147564936713
4,Hider-C,C45RulesSA-C,0.01715651368447439
5,Hider-C,DT_GA-C,0.014425036454026763
6,Hider-C,DT_Oblique-C,0.453964647178982
7,Hider-C,EACH-C,7.854173049771245e-07
8,Hider-C,GPR,0.005561037081558176
9,Hider-C,NSLV-C,0.0907048081705885
10,Hider-C,OCEC-C,0.5942296764685031
11,Hider-C,OIGA-C,0.06492378426471589
12,Hider-C,PGIRLA-C,0.033288620725922695
13,Hider-C,Ripper-C,0.08396687372105927
14,Hider-C,SLAVE2-C,0.32445328091802894
15,Hider-C,SLAVEv0-C,0.5797598384198602
