,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,4.455240868033897e-12
2,NSLV-C,C45-C,0.580114363865629
3,NSLV-C,C45Rules-C,0.4345598925289701
4,NSLV-C,C45RulesSA-C,0.5764519962973796
5,NSLV-C,DT_GA-C,0.9988570910583268
6,NSLV-C,DT_Oblique-C,0.004510052768853499
7,NSLV-C,EACH-C,2.245986635751945e-09
8,NSLV-C,GPR,0.5979785025699895
9,NSLV-C,Hider-C,0.0907048081705885
10,NSLV-C,OCEC-C,0.49754883215783097
11,NSLV-C,OIGA-C,0.7461977779653619
12,NSLV-C,PGIRLA-C,0.0007657631140138672
13,NSLV-C,Ripper-C,0.6956313543641458
14,NSLV-C,SLAVE2-C,0.3259424765554535
15,NSLV-C,SLAVEv0-C,0.001408716950629465
