,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,3.529331453479415e-11
2,OCEC-C,C45-C,0.31885746993652964
3,OCEC-C,C45Rules-C,0.23482894796194087
4,OCEC-C,C45RulesSA-C,0.3052272542191137
5,OCEC-C,DT_GA-C,0.4529761942800151
6,OCEC-C,DT_Oblique-C,0.039624231999583516
7,OCEC-C,EACH-C,1.2287898986238618e-08
8,OCEC-C,GPR,0.07246833723480565
9,OCEC-C,Hider-C,0.5942296764685031
10,OCEC-C,NSLV-C,0.49754883215783097
11,OCEC-C,OIGA-C,0.4704257690729349
12,OCEC-C,PGIRLA-C,0.000917983415824592
13,OCEC-C,Ripper-C,0.9887881076403211
14,OCEC-C,SLAVE2-C,0.9516963609560674
15,OCEC-C,SLAVEv0-C,0.04910884218890679
