,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.0009229655400774047
2,PGIRLA-C,C45-C,0.00023456705809428086
3,PGIRLA-C,C45Rules-C,0.0004407503764419528
4,PGIRLA-C,C45RulesSA-C,0.00026250194837750196
5,PGIRLA-C,DT_GA-C,0.00019345214619768427
6,PGIRLA-C,DT_Oblique-C,0.22253187312128941
7,PGIRLA-C,EACH-C,0.02291057014186707
8,PGIRLA-C,GPR,0.000335038394655423
9,PGIRLA-C,Hider-C,0.033288620725922695
10,PGIRLA-C,NSLV-C,0.0007657631140138672
11,PGIRLA-C,OCEC-C,0.000917983415824592
12,PGIRLA-C,OIGA-C,0.0006050741908058681
13,PGIRLA-C,Ripper-C,0.0022393041561930595
14,PGIRLA-C,SLAVE2-C,0.006007061477913154
15,PGIRLA-C,SLAVEv0-C,0.3489289059744958
