,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,7.737720897151245e-13
2,Ripper-C,C45-C,0.7047342086719602
3,Ripper-C,C45Rules-C,0.7223327731923903
4,Ripper-C,C45RulesSA-C,0.678978889696827
5,Ripper-C,DT_GA-C,0.9751331837087069
6,Ripper-C,DT_Oblique-C,0.004623808656224024
7,Ripper-C,EACH-C,2.4762591725618126e-11
8,Ripper-C,GPR,0.5354689693057911
9,Ripper-C,Hider-C,0.08396687372105927
10,Ripper-C,NSLV-C,0.6956313543641458
11,Ripper-C,OCEC-C,0.9887881076403211
12,Ripper-C,OIGA-C,0.6331298652334929
13,Ripper-C,PGIRLA-C,0.0022393041561930595
14,Ripper-C,SLAVE2-C,0.6364227471720225
15,Ripper-C,SLAVEv0-C,0.027647531979204797
