,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,1.7480739611270776e-10
2,SLAVE2-C,C45-C,0.2500465909127888
3,SLAVE2-C,C45Rules-C,0.19922994627636514
4,SLAVE2-C,C45RulesSA-C,0.1923064752046152
5,SLAVE2-C,DT_GA-C,0.2922466776999222
6,SLAVE2-C,DT_Oblique-C,0.02689290697421991
7,SLAVE2-C,EACH-C,2.3510523210216807e-08
8,SLAVE2-C,GPR,0.26528091126140296
9,SLAVE2-C,Hider-C,0.32445328091802894
10,SLAVE2-C,NSLV-C,0.3259424765554535
11,SLAVE2-C,OCEC-C,0.9516963609560674
12,SLAVE2-C,OIGA-C,0.5146323940481914
13,SLAVE2-C,PGIRLA-C,0.006007061477913154
14,SLAVE2-C,Ripper-C,0.6364227471720225
15,SLAVE2-C,SLAVEv0-C,0.007820670942317455
