,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,3.271593985049336e-07
2,SLAVEv0-C,C45-C,0.0015418675143220517
3,SLAVEv0-C,C45Rules-C,0.005075660289886708
4,SLAVEv0-C,C45RulesSA-C,0.0032730276040163196
5,SLAVEv0-C,DT_GA-C,0.0018689772695329111
6,SLAVEv0-C,DT_Oblique-C,0.593106056292423
7,SLAVEv0-C,EACH-C,1.4808169665351348e-05
8,SLAVEv0-C,GPR,0.001212348868129242
9,SLAVEv0-C,Hider-C,0.5797598384198602
10,SLAVEv0-C,NSLV-C,0.001408716950629465
11,SLAVEv0-C,OCEC-C,0.04910884218890679
12,SLAVEv0-C,OIGA-C,0.0477959750958416
13,SLAVEv0-C,PGIRLA-C,0.3489289059744958
14,SLAVEv0-C,Ripper-C,0.027647531979204797
15,SLAVEv0-C,SLAVE2-C,0.007820670942317455
