,1R-C,Algorithm,p-value
1,1R-C,C45-C,2.789764085406682e-10
2,1R-C,C45Rules-C,2.8253603767181285e-09
3,1R-C,C45RulesSA-C,2.063202762056385e-09
4,1R-C,DT_GA-C,3.93734078862025e-10
5,1R-C,DT_Oblique-C,0.0001872655878772836
6,1R-C,EACH-C,0.024652208334443957
7,1R-C,GPR,8.709864519897385e-11
8,1R-C,Hider-C,1.9711341748099547e-05
9,1R-C,NSLV-C,3.197611799810448e-12
10,1R-C,OCEC-C,1.9528725805023507e-06
11,1R-C,OIGA-C,1.2150258075355729e-11
12,1R-C,PGIRLA-C,0.06803434471727197
13,1R-C,Ripper-C,0.0002774085629819328
14,1R-C,SLAVE2-C,7.56857724986429e-10
15,1R-C,SLAVEv0-C,2.6745194629579825e-06
