,C45-C,Algorithm,p-value
1,C45-C,1R-C,2.789764085406682e-10
2,C45-C,C45Rules-C,0.3822189903108395
3,C45-C,C45RulesSA-C,0.4743128752303448
4,C45-C,DT_GA-C,0.855301252130041
5,C45-C,DT_Oblique-C,4.0955202362127486e-05
6,C45-C,EACH-C,1.2200904327765208e-11
7,C45-C,GPR,0.6357094581975604
8,C45-C,Hider-C,0.10278673624252063
9,C45-C,NSLV-C,0.8615001339244629
10,C45-C,OCEC-C,0.06738930083014807
11,C45-C,OIGA-C,0.3644085374978102
12,C45-C,PGIRLA-C,7.366569781093017e-05
13,C45-C,Ripper-C,0.0016084807863519417
14,C45-C,SLAVE2-C,0.46945016306875187
15,C45-C,SLAVEv0-C,0.00716974197569408
