,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,2.8253603767181285e-09
2,C45Rules-C,C45-C,0.3822189903108395
3,C45Rules-C,C45RulesSA-C,0.573544639299889
4,C45Rules-C,DT_GA-C,0.31259111489661806
5,C45Rules-C,DT_Oblique-C,0.0010440913044173288
6,C45Rules-C,EACH-C,5.4623334805100235e-11
7,C45Rules-C,GPR,0.21351324617830414
8,C45Rules-C,Hider-C,0.1666582914812864
9,C45Rules-C,NSLV-C,0.2703098397689716
10,C45Rules-C,OCEC-C,0.12731115532449952
11,C45Rules-C,OIGA-C,0.17733614829208855
12,C45Rules-C,PGIRLA-C,0.0010405050366266838
13,C45Rules-C,Ripper-C,0.018424130490436348
14,C45Rules-C,SLAVE2-C,0.8538643952729938
15,C45Rules-C,SLAVEv0-C,0.2283267430901631
