,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,2.063202762056385e-09
2,C45RulesSA-C,C45-C,0.4743128752303448
3,C45RulesSA-C,C45Rules-C,0.573544639299889
4,C45RulesSA-C,DT_GA-C,0.376002168717396
5,C45RulesSA-C,DT_Oblique-C,0.000794497930630537
6,C45RulesSA-C,EACH-C,3.845292814833092e-12
7,C45RulesSA-C,GPR,0.44133083091014846
8,C45RulesSA-C,Hider-C,0.1806694979521719
9,C45RulesSA-C,NSLV-C,0.23523915941974627
10,C45RulesSA-C,OCEC-C,0.16079416052641637
11,C45RulesSA-C,OIGA-C,0.4219954740582754
12,C45RulesSA-C,PGIRLA-C,0.0008247962679104854
13,C45RulesSA-C,Ripper-C,0.019915064437720998
14,C45RulesSA-C,SLAVE2-C,0.8667086347728603
15,C45RulesSA-C,SLAVEv0-C,0.19472198801897422
