,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,3.93734078862025e-10
2,DT_GA-C,C45-C,0.855301252130041
3,DT_GA-C,C45Rules-C,0.31259111489661806
4,DT_GA-C,C45RulesSA-C,0.376002168717396
5,DT_GA-C,DT_Oblique-C,0.00012340381130310037
6,DT_GA-C,EACH-C,2.914896951724423e-11
7,DT_GA-C,GPR,0.6232294241559471
8,DT_GA-C,Hider-C,0.014104260891654577
9,DT_GA-C,NSLV-C,0.30036878943546985
10,DT_GA-C,OCEC-C,0.12338928429545383
11,DT_GA-C,OIGA-C,0.3064744970281913
12,DT_GA-C,PGIRLA-C,2.076978753785129e-05
13,DT_GA-C,Ripper-C,0.005006193224948125
14,DT_GA-C,SLAVE2-C,0.6663387919439312
15,DT_GA-C,SLAVEv0-C,0.019865034814924614
