,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.024652208334443957
2,EACH-C,C45-C,1.2200904327765208e-11
3,EACH-C,C45Rules-C,5.4623334805100235e-11
4,EACH-C,C45RulesSA-C,3.845292814833092e-12
5,EACH-C,DT_GA-C,2.914896951724423e-11
6,EACH-C,DT_Oblique-C,1.10822335068264e-08
7,EACH-C,GPR,4.815283069524567e-13
8,EACH-C,Hider-C,1.7234106533204406e-08
9,EACH-C,NSLV-C,8.581433802038859e-14
10,EACH-C,OCEC-C,1.2197240184863769e-09
11,EACH-C,OIGA-C,1.2486498996891924e-13
12,EACH-C,PGIRLA-C,0.0034819028283965005
13,EACH-C,Ripper-C,4.908020175900653e-09
14,EACH-C,SLAVE2-C,1.1190110421252186e-11
15,EACH-C,SLAVEv0-C,1.903437254361337e-09
