,GPR,Algorithm,p-value
1,GPR,1R-C,8.709864519897385e-11
2,GPR,C45-C,0.6357094581975604
3,GPR,C45Rules-C,0.21351324617830414
4,GPR,C45RulesSA-C,0.44133083091014846
5,GPR,DT_GA-C,0.6232294241559471
6,GPR,DT_Oblique-C,1.0770044890997405e-05
7,GPR,EACH-C,4.815283069524567e-13
8,GPR,Hider-C,0.001977183869170446
9,GPR,NSLV-C,0.8133645835523609
10,GPR,OCEC-C,0.003051324994489038
11,GPR,OIGA-C,0.8725118072735775
12,GPR,PGIRLA-C,1.4890002238571992e-05
13,GPR,Ripper-C,0.0006886282906885903
14,GPR,SLAVE2-C,0.3237588683479222
15,GPR,SLAVEv0-C,0.0013380806613419896
