,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,3.197611799810448e-12
2,NSLV-C,C45-C,0.8615001339244629
3,NSLV-C,C45Rules-C,0.2703098397689716
4,NSLV-C,C45RulesSA-C,0.23523915941974627
5,NSLV-C,DT_GA-C,0.30036878943546985
6,NSLV-C,DT_Oblique-C,7.83466169721609e-06
7,NSLV-C,EACH-C,8.581433802038859e-14
8,NSLV-C,GPR,0.8133645835523609
9,NSLV-C,Hider-C,0.017481278745879535
10,NSLV-C,OCEC-C,0.01614911055725132
11,NSLV-C,OIGA-C,0.7720769539980843
12,NSLV-C,PGIRLA-C,1.02731964432275e-05
13,NSLV-C,Ripper-C,0.00014254531845255295
14,NSLV-C,SLAVE2-C,0.24368329755975038
15,NSLV-C,SLAVEv0-C,0.0008525637535485861
