,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,1.9528725805023507e-06
2,OCEC-C,C45-C,0.06738930083014807
3,OCEC-C,C45Rules-C,0.12731115532449952
4,OCEC-C,C45RulesSA-C,0.16079416052641637
5,OCEC-C,DT_GA-C,0.12338928429545383
6,OCEC-C,DT_Oblique-C,0.0967937631537495
7,OCEC-C,EACH-C,1.2197240184863769e-09
8,OCEC-C,GPR,0.003051324994489038
9,OCEC-C,Hider-C,0.7311117667501368
10,OCEC-C,NSLV-C,0.01614911055725132
11,OCEC-C,OIGA-C,0.02496077118359102
12,OCEC-C,PGIRLA-C,0.009457050410375216
13,OCEC-C,Ripper-C,0.11115102121895883
14,OCEC-C,SLAVE2-C,0.13710668557152336
15,OCEC-C,SLAVEv0-C,0.7302930526071596
