,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,1.2150258075355729e-11
2,OIGA-C,C45-C,0.3644085374978102
3,OIGA-C,C45Rules-C,0.17733614829208855
4,OIGA-C,C45RulesSA-C,0.4219954740582754
5,OIGA-C,DT_GA-C,0.3064744970281913
6,OIGA-C,DT_Oblique-C,5.5532332922174166e-05
7,OIGA-C,EACH-C,1.2486498996891924e-13
8,OIGA-C,GPR,0.8725118072735775
9,OIGA-C,Hider-C,0.008243059704229188
10,OIGA-C,NSLV-C,0.7720769539980843
11,OIGA-C,OCEC-C,0.02496077118359102
12,OIGA-C,PGIRLA-C,7.982173585575634e-06
13,OIGA-C,Ripper-C,7.102489474695328e-05
14,OIGA-C,SLAVE2-C,0.31371253820407285
15,OIGA-C,SLAVEv0-C,0.0187850534945146
