,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.06803434471727197
2,PGIRLA-C,C45-C,7.366569781093017e-05
3,PGIRLA-C,C45Rules-C,0.0010405050366266838
4,PGIRLA-C,C45RulesSA-C,0.0008247962679104854
5,PGIRLA-C,DT_GA-C,2.076978753785129e-05
6,PGIRLA-C,DT_Oblique-C,0.29120864965898985
7,PGIRLA-C,EACH-C,0.0034819028283965005
8,PGIRLA-C,GPR,1.4890002238571992e-05
9,PGIRLA-C,Hider-C,0.004869970985276336
10,PGIRLA-C,NSLV-C,1.02731964432275e-05
11,PGIRLA-C,OCEC-C,0.009457050410375216
12,PGIRLA-C,OIGA-C,7.982173585575634e-06
13,PGIRLA-C,Ripper-C,0.41819203792609083
14,PGIRLA-C,SLAVE2-C,0.00032479145131584543
15,PGIRLA-C,SLAVEv0-C,0.030043558387260923
