,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,0.0002774085629819328
2,Ripper-C,C45-C,0.0016084807863519417
3,Ripper-C,C45Rules-C,0.018424130490436348
4,Ripper-C,C45RulesSA-C,0.019915064437720998
5,Ripper-C,DT_GA-C,0.005006193224948125
6,Ripper-C,DT_Oblique-C,0.5489663064556201
7,Ripper-C,EACH-C,4.908020175900653e-09
8,Ripper-C,GPR,0.0006886282906885903
9,Ripper-C,Hider-C,0.3113310574937439
10,Ripper-C,NSLV-C,0.00014254531845255295
11,Ripper-C,OCEC-C,0.11115102121895883
12,Ripper-C,OIGA-C,7.102489474695328e-05
13,Ripper-C,PGIRLA-C,0.41819203792609083
14,Ripper-C,SLAVE2-C,0.0037424824418479706
15,Ripper-C,SLAVEv0-C,0.14371904559420653
