,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,7.56857724986429e-10
2,SLAVE2-C,C45-C,0.46945016306875187
3,SLAVE2-C,C45Rules-C,0.8538643952729938
4,SLAVE2-C,C45RulesSA-C,0.8667086347728603
5,SLAVE2-C,DT_GA-C,0.6663387919439312
6,SLAVE2-C,DT_Oblique-C,0.0001570036229443025
7,SLAVE2-C,EACH-C,1.1190110421252186e-11
8,SLAVE2-C,GPR,0.3237588683479222
9,SLAVE2-C,Hider-C,0.16543995617310192
10,SLAVE2-C,NSLV-C,0.24368329755975038
11,SLAVE2-C,OCEC-C,0.13710668557152336
12,SLAVE2-C,OIGA-C,0.31371253820407285
13,SLAVE2-C,PGIRLA-C,0.00032479145131584543
14,SLAVE2-C,Ripper-C,0.0037424824418479706
15,SLAVE2-C,SLAVEv0-C,0.00791311121052933
