,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,2.6745194629579825e-06
2,SLAVEv0-C,C45-C,0.00716974197569408
3,SLAVEv0-C,C45Rules-C,0.2283267430901631
4,SLAVEv0-C,C45RulesSA-C,0.19472198801897422
5,SLAVEv0-C,DT_GA-C,0.019865034814924614
6,SLAVEv0-C,DT_Oblique-C,0.04457177505878256
7,SLAVEv0-C,EACH-C,1.903437254361337e-09
8,SLAVEv0-C,GPR,0.0013380806613419896
9,SLAVEv0-C,Hider-C,0.8013639380266379
10,SLAVEv0-C,NSLV-C,0.0008525637535485861
11,SLAVEv0-C,OCEC-C,0.7302930526071596
12,SLAVEv0-C,OIGA-C,0.0187850534945146
13,SLAVEv0-C,PGIRLA-C,0.030043558387260923
14,SLAVEv0-C,Ripper-C,0.14371904559420653
15,SLAVEv0-C,SLAVE2-C,0.00791311121052933
