,1R-C,Algorithm,p-value
1,1R-C,C45-C,4.3629882268464296e-13
2,1R-C,C45Rules-C,9.559931642859231e-14
3,1R-C,C45RulesSA-C,1.9713540106954546e-14
4,1R-C,DT_GA-C,6.91426546367004e-13
5,1R-C,DT_Oblique-C,2.6181083478683157e-10
6,1R-C,EACH-C,0.406314457912625
7,1R-C,GPR,2.036158149358546e-11
8,1R-C,Hider-C,7.247766991414894e-09
9,1R-C,NSLV-C,1.976265392713968e-12
10,1R-C,OCEC-C,5.14977099693583e-12
11,1R-C,OIGA-C,3.111505360438663e-12
12,1R-C,PGIRLA-C,0.045747446616475756
13,1R-C,Ripper-C,5.417320530369865e-15
14,1R-C,SLAVE2-C,2.6172066937327426e-11
15,1R-C,SLAVEv0-C,6.338723819021773e-09
