,C45-C,Algorithm,p-value
1,C45-C,1R-C,4.3629882268464296e-13
2,C45-C,C45Rules-C,0.8276830610509178
3,C45-C,C45RulesSA-C,0.722704871105635
4,C45-C,DT_GA-C,0.8318055371910569
5,C45-C,DT_Oblique-C,0.003205821055084432
6,C45-C,EACH-C,1.1388609860406478e-06
7,C45-C,GPR,0.9607535247482654
8,C45-C,Hider-C,0.12238635607094003
9,C45-C,NSLV-C,0.3781710035333009
10,C45-C,OCEC-C,0.24994704478770313
11,C45-C,OIGA-C,0.6056515761091501
12,C45-C,PGIRLA-C,2.0638720842964012e-05
13,C45-C,Ripper-C,0.6742493153963689
14,C45-C,SLAVE2-C,0.20352550052345864
15,C45-C,SLAVEv0-C,0.002136628724953387
