,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,9.559931642859231e-14
2,C45Rules-C,C45-C,0.8276830610509178
3,C45Rules-C,C45RulesSA-C,0.9804767133849777
4,C45Rules-C,DT_GA-C,0.700610292823008
5,C45Rules-C,DT_Oblique-C,0.001023365926510972
6,C45Rules-C,EACH-C,2.629966386123658e-07
7,C45Rules-C,GPR,0.8627729810184264
8,C45Rules-C,Hider-C,0.06759299691496913
9,C45Rules-C,NSLV-C,0.15956306731688763
10,C45Rules-C,OCEC-C,0.15443995797450163
11,C45Rules-C,OIGA-C,0.8044244691876427
12,C45Rules-C,PGIRLA-C,1.8191233025316622e-05
13,C45Rules-C,Ripper-C,0.7183637581482242
14,C45Rules-C,SLAVE2-C,0.14440930638325183
15,C45Rules-C,SLAVEv0-C,0.002929524013475619
