,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,1.9713540106954546e-14
2,C45RulesSA-C,C45-C,0.722704871105635
3,C45RulesSA-C,C45Rules-C,0.9804767133849777
4,C45RulesSA-C,DT_GA-C,0.8306681533877378
5,C45RulesSA-C,DT_Oblique-C,0.0007433119297177056
6,C45RulesSA-C,EACH-C,2.0860005218151472e-07
7,C45RulesSA-C,GPR,0.5733960042033102
8,C45RulesSA-C,Hider-C,0.04192862551236022
9,C45RulesSA-C,NSLV-C,0.3569923741994696
10,C45RulesSA-C,OCEC-C,0.18642782169004446
11,C45RulesSA-C,OIGA-C,0.9622104721357945
12,C45RulesSA-C,PGIRLA-C,1.9270593562152896e-05
13,C45RulesSA-C,Ripper-C,0.7849400600457775
14,C45RulesSA-C,SLAVE2-C,0.18508166679451532
15,C45RulesSA-C,SLAVEv0-C,0.0018505332731987077
