,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,6.91426546367004e-13
2,DT_GA-C,C45-C,0.8318055371910569
3,DT_GA-C,C45Rules-C,0.700610292823008
4,DT_GA-C,C45RulesSA-C,0.8306681533877378
5,DT_GA-C,DT_Oblique-C,0.005034624659815579
6,DT_GA-C,EACH-C,5.473477993162244e-06
7,DT_GA-C,GPR,0.8834258394113129
8,DT_GA-C,Hider-C,0.03818789437997265
9,DT_GA-C,NSLV-C,0.6747043648106014
10,DT_GA-C,OCEC-C,0.35059414179445114
11,DT_GA-C,OIGA-C,0.44958536484494016
12,DT_GA-C,PGIRLA-C,2.8582024889521384e-06
13,DT_GA-C,Ripper-C,0.5191761576267211
14,DT_GA-C,SLAVE2-C,0.3300373446229351
15,DT_GA-C,SLAVEv0-C,0.0015448988227341502
