,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,2.6181083478683157e-10
2,DT_Oblique-C,C45-C,0.003205821055084432
3,DT_Oblique-C,C45Rules-C,0.001023365926510972
4,DT_Oblique-C,C45RulesSA-C,0.0007433119297177056
5,DT_Oblique-C,DT_GA-C,0.005034624659815579
6,DT_Oblique-C,EACH-C,0.00023113350420655125
7,DT_Oblique-C,GPR,0.01482682200330368
8,DT_Oblique-C,Hider-C,0.2966267244132972
9,DT_Oblique-C,NSLV-C,0.018261254862093252
10,DT_Oblique-C,OCEC-C,0.04669018192424461
11,DT_Oblique-C,OIGA-C,0.006540891030390425
12,DT_Oblique-C,PGIRLA-C,0.03394809781065968
13,DT_Oblique-C,Ripper-C,0.001801252765390643
14,DT_Oblique-C,SLAVE2-C,0.054151718306574066
15,DT_Oblique-C,SLAVEv0-C,0.6851076553759088
