,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.406314457912625
2,EACH-C,C45-C,1.1388609860406478e-06
3,EACH-C,C45Rules-C,2.629966386123658e-07
4,EACH-C,C45RulesSA-C,2.0860005218151472e-07
5,EACH-C,DT_GA-C,5.473477993162244e-06
6,EACH-C,DT_Oblique-C,0.00023113350420655125
7,EACH-C,GPR,2.2672432255993923e-06
8,EACH-C,Hider-C,1.019338349960402e-05
9,EACH-C,NSLV-C,1.3721480260074684e-06
10,EACH-C,OCEC-C,3.3693373918558348e-06
11,EACH-C,OIGA-C,2.3708926143371918e-09
12,EACH-C,PGIRLA-C,0.30859826233490495
13,EACH-C,Ripper-C,1.8116005473626132e-08
14,EACH-C,SLAVE2-C,3.5994610738641758e-06
15,EACH-C,SLAVEv0-C,0.00017077669587262567
