,GPR,Algorithm,p-value
1,GPR,1R-C,2.036158149358546e-11
2,GPR,C45-C,0.9607535247482654
3,GPR,C45Rules-C,0.8627729810184264
4,GPR,C45RulesSA-C,0.5733960042033102
5,GPR,DT_GA-C,0.8834258394113129
6,GPR,DT_Oblique-C,0.01482682200330368
7,GPR,EACH-C,2.2672432255993923e-06
8,GPR,Hider-C,0.02956096022253918
9,GPR,NSLV-C,0.5164108537932091
10,GPR,OCEC-C,0.17446950037426612
11,GPR,OIGA-C,0.9848102570698992
12,GPR,PGIRLA-C,7.3876047222113264e-06
13,GPR,Ripper-C,0.6494002360528026
14,GPR,SLAVE2-C,0.43351550690627516
15,GPR,SLAVEv0-C,0.006842628253818518
