,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,7.247766991414894e-09
2,Hider-C,C45-C,0.12238635607094003
3,Hider-C,C45Rules-C,0.06759299691496913
4,Hider-C,C45RulesSA-C,0.04192862551236022
5,Hider-C,DT_GA-C,0.03818789437997265
6,Hider-C,DT_Oblique-C,0.2966267244132972
7,Hider-C,EACH-C,1.019338349960402e-05
8,Hider-C,GPR,0.02956096022253918
9,Hider-C,NSLV-C,0.27324675541042953
10,Hider-C,OCEC-C,0.9013807367415906
11,Hider-C,OIGA-C,0.04918342657604421
12,Hider-C,PGIRLA-C,0.00013437668177060619
13,Hider-C,Ripper-C,0.06626973216817279
14,Hider-C,SLAVE2-C,0.6007884082301334
15,Hider-C,SLAVEv0-C,0.33632476161840097
