,NSLV-C,Algorithm,p-value
1,NSLV-C,1R-C,1.976265392713968e-12
2,NSLV-C,C45-C,0.3781710035333009
3,NSLV-C,C45Rules-C,0.15956306731688763
4,NSLV-C,C45RulesSA-C,0.3569923741994696
5,NSLV-C,DT_GA-C,0.6747043648106014
6,NSLV-C,DT_Oblique-C,0.018261254862093252
7,NSLV-C,EACH-C,1.3721480260074684e-06
8,NSLV-C,GPR,0.5164108537932091
9,NSLV-C,Hider-C,0.27324675541042953
10,NSLV-C,OCEC-C,0.5155331337002044
11,NSLV-C,OIGA-C,0.2981885322270965
12,NSLV-C,PGIRLA-C,1.2639171284416086e-05
13,NSLV-C,Ripper-C,0.5497101405524119
14,NSLV-C,SLAVE2-C,0.6296893457547559
15,NSLV-C,SLAVEv0-C,0.0057935970980846595
