,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,5.14977099693583e-12
2,OCEC-C,C45-C,0.24994704478770313
3,OCEC-C,C45Rules-C,0.15443995797450163
4,OCEC-C,C45RulesSA-C,0.18642782169004446
5,OCEC-C,DT_GA-C,0.35059414179445114
6,OCEC-C,DT_Oblique-C,0.04669018192424461
7,OCEC-C,EACH-C,3.3693373918558348e-06
8,OCEC-C,GPR,0.17446950037426612
9,OCEC-C,Hider-C,0.9013807367415906
10,OCEC-C,NSLV-C,0.5155331337002044
11,OCEC-C,OIGA-C,0.21198868253054048
12,OCEC-C,PGIRLA-C,0.00019270678418016604
13,OCEC-C,Ripper-C,0.3055735021897076
14,OCEC-C,SLAVE2-C,0.9155750866574262
15,OCEC-C,SLAVEv0-C,0.07345809225609568
