,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,3.111505360438663e-12
2,OIGA-C,C45-C,0.6056515761091501
3,OIGA-C,C45Rules-C,0.8044244691876427
4,OIGA-C,C45RulesSA-C,0.9622104721357945
5,OIGA-C,DT_GA-C,0.44958536484494016
6,OIGA-C,DT_Oblique-C,0.006540891030390425
7,OIGA-C,EACH-C,2.3708926143371918e-09
8,OIGA-C,GPR,0.9848102570698992
9,OIGA-C,Hider-C,0.04918342657604421
10,OIGA-C,NSLV-C,0.2981885322270965
11,OIGA-C,OCEC-C,0.21198868253054048
12,OIGA-C,PGIRLA-C,1.0501690095838861e-06
13,OIGA-C,Ripper-C,0.7712849060002798
14,OIGA-C,SLAVE2-C,0.18775940496488808
15,OIGA-C,SLAVEv0-C,0.024423021295468954
