,PGIRLA-C,Algorithm,p-value
1,PGIRLA-C,1R-C,0.045747446616475756
2,PGIRLA-C,C45-C,2.0638720842964012e-05
3,PGIRLA-C,C45Rules-C,1.8191233025316622e-05
4,PGIRLA-C,C45RulesSA-C,1.9270593562152896e-05
5,PGIRLA-C,DT_GA-C,2.8582024889521384e-06
6,PGIRLA-C,DT_Oblique-C,0.03394809781065968
7,PGIRLA-C,EACH-C,0.30859826233490495
8,PGIRLA-C,GPR,7.3876047222113264e-06
9,PGIRLA-C,Hider-C,0.00013437668177060619
10,PGIRLA-C,NSLV-C,1.2639171284416086e-05
11,PGIRLA-C,OCEC-C,0.00019270678418016604
12,PGIRLA-C,OIGA-C,1.0501690095838861e-06
13,PGIRLA-C,Ripper-C,8.02934504747984e-05
14,PGIRLA-C,SLAVE2-C,4.751633707238655e-05
15,PGIRLA-C,SLAVEv0-C,0.005283668172164171
