,Ripper-C,Algorithm,p-value
1,Ripper-C,1R-C,5.417320530369865e-15
2,Ripper-C,C45-C,0.6742493153963689
3,Ripper-C,C45Rules-C,0.7183637581482242
4,Ripper-C,C45RulesSA-C,0.7849400600457775
5,Ripper-C,DT_GA-C,0.5191761576267211
6,Ripper-C,DT_Oblique-C,0.001801252765390643
7,Ripper-C,EACH-C,1.8116005473626132e-08
8,Ripper-C,GPR,0.6494002360528026
9,Ripper-C,Hider-C,0.06626973216817279
10,Ripper-C,NSLV-C,0.5497101405524119
11,Ripper-C,OCEC-C,0.3055735021897076
12,Ripper-C,OIGA-C,0.7712849060002798
13,Ripper-C,PGIRLA-C,8.02934504747984e-05
14,Ripper-C,SLAVE2-C,0.24174552685551032
15,Ripper-C,SLAVEv0-C,0.004719900704835749
