,SLAVE2-C,Algorithm,p-value
1,SLAVE2-C,1R-C,2.6172066937327426e-11
2,SLAVE2-C,C45-C,0.20352550052345864
3,SLAVE2-C,C45Rules-C,0.14440930638325183
4,SLAVE2-C,C45RulesSA-C,0.18508166679451532
5,SLAVE2-C,DT_GA-C,0.3300373446229351
6,SLAVE2-C,DT_Oblique-C,0.054151718306574066
7,SLAVE2-C,EACH-C,3.5994610738641758e-06
8,SLAVE2-C,GPR,0.43351550690627516
9,SLAVE2-C,Hider-C,0.6007884082301334
10,SLAVE2-C,NSLV-C,0.6296893457547559
11,SLAVE2-C,OCEC-C,0.9155750866574262
12,SLAVE2-C,OIGA-C,0.18775940496488808
13,SLAVE2-C,PGIRLA-C,4.751633707238655e-05
14,SLAVE2-C,Ripper-C,0.24174552685551032
15,SLAVE2-C,SLAVEv0-C,0.006091243392029232
