,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,6.338723819021773e-09
2,SLAVEv0-C,C45-C,0.002136628724953387
3,SLAVEv0-C,C45Rules-C,0.002929524013475619
4,SLAVEv0-C,C45RulesSA-C,0.0018505332731987077
5,SLAVEv0-C,DT_GA-C,0.0015448988227341502
6,SLAVEv0-C,DT_Oblique-C,0.6851076553759088
7,SLAVEv0-C,EACH-C,0.00017077669587262567
8,SLAVEv0-C,GPR,0.006842628253818518
9,SLAVEv0-C,Hider-C,0.33632476161840097
10,SLAVEv0-C,NSLV-C,0.0057935970980846595
11,SLAVEv0-C,OCEC-C,0.07345809225609568
12,SLAVEv0-C,OIGA-C,0.024423021295468954
13,SLAVEv0-C,PGIRLA-C,0.005283668172164171
14,SLAVEv0-C,Ripper-C,0.004719900704835749
15,SLAVEv0-C,SLAVE2-C,0.006091243392029232
