,C45-C,Algorithm,p-value
1,C45-C,1R-C,5.140629477832656e-07
2,C45-C,C45Rules-C,0.021594569785427797
3,C45-C,C45RulesSA-C,0.021996969814820376
4,C45-C,DT_GA-C,0.8051897423532525
5,C45-C,DT_Oblique-C,1.4966994808653393e-06
6,C45-C,EACH-C,9.600226263851308e-12
7,C45-C,GPR,0.26224135342876687
8,C45-C,Hider-C,0.10235153757565127
9,C45-C,NSLV-C,0.1637512811668963
10,C45-C,OCEC-C,0.00336209369214401
11,C45-C,OIGA-C,0.10407830056774639
12,C45-C,PGIRLA-C,0.0005245486063408138
13,C45-C,Ripper-C,5.667762493042634e-07
14,C45-C,SLAVE2-C,0.9816575233502655
15,C45-C,SLAVEv0-C,0.056732420888220655
