,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,6.275893175010335e-07
2,DT_GA-C,C45-C,0.8051897423532525
3,DT_GA-C,C45Rules-C,0.023210492260093883
4,DT_GA-C,C45RulesSA-C,0.022247263052436708
5,DT_GA-C,DT_Oblique-C,2.811132353102375e-06
6,DT_GA-C,EACH-C,2.3380190115383883e-11
7,DT_GA-C,GPR,0.33217368037619444
8,DT_GA-C,Hider-C,0.025256979179518416
9,DT_GA-C,NSLV-C,0.06491217568050431
10,DT_GA-C,OCEC-C,0.0042238776518880505
11,DT_GA-C,OIGA-C,0.09893946523132927
12,DT_GA-C,PGIRLA-C,0.00023747394367065874
13,DT_GA-C,Ripper-C,2.279312905480692e-06
14,DT_GA-C,SLAVE2-C,0.9181450485670695
15,DT_GA-C,SLAVEv0-C,0.1409461909159822
