,EACH-C,Algorithm,p-value
1,EACH-C,1R-C,0.0007309152486832297
2,EACH-C,C45-C,9.600226263851308e-12
3,EACH-C,C45Rules-C,2.539979113712632e-09
4,EACH-C,C45RulesSA-C,3.3575009162261366e-10
5,EACH-C,DT_GA-C,2.3380190115383883e-11
6,EACH-C,DT_Oblique-C,4.03046181026964e-07
7,EACH-C,GPR,4.695137307585994e-14
8,EACH-C,Hider-C,8.52444328092736e-09
9,EACH-C,NSLV-C,1.9939829755387005e-15
10,EACH-C,OCEC-C,1.1008412312090361e-07
11,EACH-C,OIGA-C,1.871349035993884e-14
12,EACH-C,PGIRLA-C,0.000668696150298374
13,EACH-C,Ripper-C,1.026147526517471e-05
14,EACH-C,SLAVE2-C,1.1523957074324068e-12
15,EACH-C,SLAVEv0-C,4.725903437280976e-11
